series,evidence_class,fraction_1,normalized_F,cloud_point_f,source_note
Systematic Robust Cubic,project model — evidence-group compromise,0.2,0.09851,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.21,0.102957,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.22,0.107407,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.23,0.111865,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.24,0.116339,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.25,0.120836,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.26,0.12536,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.27,0.12992,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.28,0.134522,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.29,0.139172,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.3,0.143877,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.31,0.148643,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.32,0.153477,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.33,0.158386,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.34,0.163375,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.35,0.168452,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.36,0.173624,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.37,0.178896,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.38,0.184275,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.39,0.189768,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.4,0.195381,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.41,0.201121,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.42,0.206995,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.43,0.213008,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.44,0.219168,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.45,0.225481,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.46,0.231954,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.47,0.238593,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.48,0.245404,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.49,0.252395,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.5,0.259572,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.51,0.26694,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.52,0.274508,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.53,0.282281,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.54,0.290267,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.55,0.29847,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.56,0.306899,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.57,0.31556,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.58,0.324458,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.59,0.333602,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.6,0.342996,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.61,0.352649,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.62,0.362566,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.63,0.372753,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.64,0.383219,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.65,0.393968,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.66,0.405008,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.67,0.416345,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.68,0.427985,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.69,0.439936,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.7,0.452203,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.71,0.464794,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.72,0.477715,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.73,0.490972,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.74,0.504572,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.75,0.518522,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.76,0.532827,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.77,0.547495,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.78,0.562533,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.79,0.577946,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.8,0.593741,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.81,0.609925,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.82,0.626504,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.83,0.643486,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.84,0.660875,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.85,0.67868,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.86,0.696906,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.87,0.715561,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.88,0.734649,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.89,0.754179,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.9,0.774157,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.91,0.794589,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.92,0.815482,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.93,0.836842,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.94,0.858676,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.95,0.880991,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.96,0.903793,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.97,0.927088,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.98,0.950883,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,0.99,0.975185,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Systematic Robust Cubic,project model — evidence-group compromise,1.0,1.0,,"Balanced historical evidence-group compromise; Iowa group used explicit stock-blend evidence, not the digitized fitted line"
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.0,0.0,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.01,0.004783,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.02,0.009452,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.03,0.014013,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.04,0.018472,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.05,0.022837,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.06,0.027115,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.07,0.031312,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.08,0.035434,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.09,0.039489,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.1,0.043483,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.11,0.047423,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.12,0.051316,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.13,0.055168,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.14,0.058986,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.15,0.062778,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.16,0.066549,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.17,0.070306,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.18,0.074057,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.19,0.077807,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.2,0.081564,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.21,0.085335,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.22,0.089125,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.23,0.092943,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.24,0.096793,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.25,0.100684,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.26,0.104623,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.27,0.108614,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.28,0.112667,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.29,0.116786,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.3,0.12098,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.31,0.125254,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.32,0.129616,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.33,0.134072,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.34,0.138628,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.35,0.143293,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.36,0.148071,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.37,0.152971,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.38,0.157999,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.39,0.163161,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.4,0.168465,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.41,0.173916,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.42,0.179523,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.43,0.185291,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.44,0.191227,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.45,0.197338,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.46,0.203631,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.47,0.210112,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.48,0.216789,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.49,0.223667,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.5,0.230754,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.51,0.238057,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.52,0.245581,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.53,0.253335,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.54,0.261324,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.55,0.269555,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.56,0.278036,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.57,0.286772,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.58,0.295771,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.59,0.305039,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.6,0.314583,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.61,0.32441,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.62,0.334526,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.63,0.344939,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.64,0.355654,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.65,0.36668,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.66,0.378021,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.67,0.389686,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.68,0.401681,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.69,0.414012,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.7,0.426687,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.71,0.439712,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
Iowa PDF endpoint-constrained cubic,project interpretation — endpoint-constrained fit to source PDF fitted line,0.72,0.453093,,Constrained cubic fit to the source-native Iowa PDF vector regression while enforcing measured +3.2/-53.5°F endpoints
